,,,,,,,,,,,,,,Per Game,,,,,,Shooting,,,,Advanced,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
71,2011,NBA,1,11,GSW,Klay Thompson,21.14,G-F,us,Washington State University,2012,2018,525,32.9,19.2,3.4,2.3,0.9,0.5,0.458,0.486,0.422,0.852,41.2,0.115
72,2012,NBA,1,11,POR,Meyers Leonard,20.127,C-F,us,University of Illinois at Urbana-Champaign,2013,2018,322,16,5.6,3.8,0.8,0.2,0.3,0.467,0.526,0.376,0.824,10.2,0.095
73,2013,NBA,1,11,PHI,Michael Carter-Williams,21.266,G,us,Syracuse University,2014,2018,285,27.6,11.5,4.7,4.9,1.4,0.6,0.403,0.435,0.25,0.707,4.6,0.028
74,2014,NBA,1,11,DEN,Doug McDermott,22.18,F,us,Creighton University,2015,2018,245,20.5,7.8,2.3,0.8,0.2,0.1,0.45,0.487,0.397,0.815,7.4,0.071
75,2015,NBA,1,11,IND,Myles Turner,19.097,C-F,us,University of Texas at Austin,2016,2018,186,27.8,12.9,6.6,1.1,0.7,1.9,0.503,0.526,0.35,0.779,14.7,0.136
76,2016,NBA,1,11,ORL,Domantas Sabonis,20.056,F-C,us,Gonzaga University,2017,2018,140,22.4,8.6,5.5,1.5,0.5,0.4,0.467,0.5,0.323,0.713,4.8,0.074
77,2017,NBA,1,11,CHO,Malik Monk,19.143,G,us,University of Kentucky,2018,2018,45,11.4,4.5,0.8,1.1,0.2,0.1,0.323,0.316,0.328,0.706,-0.4,-0.034
78,2011,NBA,1,12,UTA,Alec Burks,19.343,G,us,University of Colorado,2012,2018,356,21.3,9.8,3,1.7,0.6,0.2,0.426,0.447,0.353,0.764,11.2,0.071
79,2012,NBA,1,12,HOU,Jeremy Lamb,20.034,G-F,us,University of Connecticut,2013,2018,337,18.4,9,3.2,1.4,0.6,0.3,0.442,0.502,0.332,0.835,14.5,0.112
80,2013,NBA,1,12,OKC,Steven Adams,19.347,C,nz,University of Pittsburgh,2014,2018,369,25.1,8.5,6.9,0.9,0.8,1,0.584,0.585,0,0.571,27.7,0.144
81,2014,NBA,1,12,ORL,Dario Saric,20.084,F,hr,,2017,2018,140,28.2,13.6,6.6,2.4,0.7,0.3,0.425,0.478,0.344,0.827,5.9,0.072
